sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
1193,31.98,0.3055448854166791,1,14,473.34,1,0
1194,29.989,0.18918141127173768,1,56,473.34,1,0
1195,30.694,0.23038495184038837,8,2,553.8436111111112,1,0
1196,28.665,0.11180057763642745,1,2,473.34,1,1
1197,6.0,-0.1554158259321432,2,1,473.34,1,0
1198,31.0,0.24826904178933473,3,9,473.34,2,0
1199,5.98,-0.15725325916636668,1,1,473.34,2,0
1200,6.15,-0.14163507667546668,5,1,473.34,2,0
1201,40.69,0.8145985568393007,4,1,473.34,1,0
1202,6.0789,-0.14816715182313137,1,14,473.34,1,0
1203,33.2,0.37684746625888343,1,24,134.1327777777778,1,0
1204,6.0188,-0.1536886386919731,1,1,786.5,1,0
1205,6.5,-0.10947999507655497,1,1,2069.926388888889,1,0
1206,5.88,-0.16644042533748438,1,1,473.34,1,0
1207,35.5,0.5112703645679568,1,1,473.34,2,0
1208,42.0,0.8911611641370775,16,12,473.34,1,1
1209,0.9,-1.5109175839076707,4,27,1544.0605555555555,1,0
1210,5.98,-0.15725325916636668,1,1,1395.7975,1,0
1211,33.0,0.3651585185798334,1,8,473.34,1,0
1212,37.69,0.6392643416535527,1,5,106.35916666666667,1,0
1213,29.0,0.13137956499883605,5,1,473.34,2,0
1214,1.85,-1.4553950824321835,2,6,473.34,1,0
1215,41.0,0.8327164257418281,33,1,682.4022222222222,2,0
1216,33.0,0.3651585185798334,1,1,473.34,1,0
